"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","nother-Super-Server",,,,"User:","nother"
"Cmdline:","dstat -tcmnd --output 0.05_10g.csv 1",,,,"Date:","30 Nov 2025 15:05:36 CST"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ"
30-11 15:05:36,0.132,0.014,99.854,0.000,0,23436165120,107537580032,987017216,135726206976,0,0,551199.339,375883.908
30-11 15:05:37,0,0.028,99.972,0,0,23435685888,107538055168,987017216,135726211072,534,1286,0,0
30-11 15:05:38,0.056,0.070,99.875,0,0,23436124160,107537616896,987017216,135726211072,45743,12572812,0,0
30-11 15:05:39,0.028,0.083,99.889,0,0,23437160448,107536580608,987017216,135726211072,570887,2633438,0,0
30-11 15:05:40,0.167,0.125,99.708,0,0,23436107776,107535675392,987021312,135726780416,9317,5081,0,1466368
30-11 15:05:41,3.575,0.515,95.910,0,0,23548309504,107424444416,987021312,135727423488,4302,4086,0,0
30-11 15:05:42,4.506,0.306,95.188,0,0,23772893184,107199705088,987021312,135727448064,3502,7237,0,0
30-11 15:05:43,4.648,0.264,95.088,0,0,23893430272,107079163904,987021312,135727452160,3354,3299,0,0
30-11 15:05:44,4.774,0.333,94.893,0,0,23921221632,107051405312,987021312,135727460352,5987952,4489,0,0
30-11 15:05:45,8.219,0.320,91.462,0,0,23952076800,107019894784,987029504,135727771648,5152157,9412,0,2826240
30-11 15:05:46,0.278,0.097,99.625,0,0,23943299072,107028676608,987029504,135727775744,5471,2518,0,0
30-11 15:05:47,0.139,0.097,99.764,0,0,23945261056,107026714624,987029504,135727775744,3723,7388,0,0
30-11 15:05:48,1.777,0.319,97.903,0,0,23995985920,106975592448,987029504,135727853568,3159,7337,0,0
30-11 15:05:49,5.660,0.528,93.812,0,0,24199491584,106770984960,987029504,135728037888,2026,2489,0,0
30-11 15:05:50,10.079,0.850,89.070,0,0,24516468736,106452922368,987033600,135728472064,4408,8520,0,3645440
30-11 15:05:51,14.072,1.005,84.923,0,0,24864456704,106103410688,987033600,135728910336,10705,9750,0,0
30-11 15:05:52,15.381,1.006,83.613,0,0,25203666944,105762881536,987033600,135729344512,9871,4558,0,0
30-11 15:05:53,23.902,1.390,74.708,0,0,25778479104,105112956928,987033600,135803719680,9997,8832,0,0
30-11 15:05:54,25.031,1.236,73.733,0,0,26281623552,104535212032,987033600,135877967872,9925,5457,0,0
30-11 15:05:55,28.735,1.562,69.675,0.028,0,26888933376,103723044864,987037696,136078094336,10860,13825,0,627515392
30-11 15:05:56,18.936,1.225,79.838,0,0,27149553664,103310884864,987037696,136225640448,9748,9900,0,0
30-11 15:05:57,8.759,0.916,90.325,0,0,26587176960,103725854720,987037696,136369967104,2893,7776,0,0
30-11 15:05:58,15.563,1.236,83.201,0,0,26303787008,103884091392,987037696,136491540480,4041,8269,0,0
30-11 15:05:59,9.879,1.186,88.935,0,0,25911713792,104173916160,987037696,136590569472,3644,9046,0,0
30-11 15:06:00,12.938,1.607,85.455,0,0,25635610624,104372252672,987045888,136665227264,8110,7169,0,720896
30-11 15:06:01,13.543,1.202,85.255,0,0,24791982080,105316683776,987045888,136566763520,11148,12658,0,0
30-11 15:06:02,11.733,0.807,87.460,0,0,25012293632,105095352320,987045888,136567201792,16561,11741,0,0
30-11 15:06:03,19.152,1.015,79.833,0,0,25440612352,104590340096,987045888,136641277952,12185,7766,0,0
30-11 15:06:04,21.940,1.422,76.638,0,0,25961943040,103991824384,987045888,136715657216,7955,13825,0,0
30-11 15:06:05,25.292,1.694,73.015,0,0,26479996928,103261159424,987058176,136922562560,362219,121018463,0,655360
30-11 15:06:06,15.051,1.224,83.711,0.014,0,26656903168,103163793408,987058176,136845545472,349623,118422054,0,231997440
30-11 15:06:07,19.533,1.627,78.813,0.028,0,26400919552,103426383872,987058176,136840171520,360989,119422533,0,279240704
30-11 15:06:08,17.726,1.391,80.882,0,0,26194599936,103759462400,987058176,136715694080,334008,117855500,0,279240704
30-11 15:06:09,18.183,2.014,79.803,0,0,26014240768,103868030976,987058176,136786268160,332382,117215123,0,279240704
30-11 15:06:10,13.350,1.480,85.170,0,0,26024996864,103810162688,987066368,136831442944,364219,122031549,0,688128
30-11 15:06:11,14.924,1.446,83.630,0,0,25923088384,103990030336,987066368,136755294208,337802,118496770,0,279240704
30-11 15:06:12,20.173,1.678,78.149,0,0,25787760640,104241487872,987066368,136641970176,355395,118781042,0,279240704
30-11 15:06:13,11.241,0.976,87.782,0,0,25385693184,104787705856,987070464,136502013952,361897,120791985,0,279240704
30-11 15:06:14,18.026,1.140,80.820,0.014,0,25747603456,104370941952,987070464,136556355584,338161,118465486,0,279175168
30-11 15:06:15,15.728,1.297,82.962,0.014,0,26042056704,104071938048,987074560,136558858240,359013,121164861,0,279789568
30-11 15:06:16,10.288,1.350,88.361,0,0,25648877568,104455548928,987074560,136569954304,344624,120599747,0,65536
30-11 15:06:17,22.598,1.838,75.564,0,0,26189717504,103920807936,987074560,136562384896,338851,117951983,0,279175168
30-11 15:06:18,15.187,1.630,83.182,0,0,25911681024,104402964480,987074560,136363040768,358131,119052766,0,279240704
30-11 15:06:19,13.274,1.663,85.063,0,0,25554251776,104764538880,987074560,136359723008,371084,122222751,0,279240704
30-11 15:06:20,20.150,1.722,78.128,0,0,25622360064,104834560000,987078656,136223662080,351275,116894129,0,279953408
30-11 15:06:21,22.228,1.240,76.532,0,0,25939427328,104442236928,987078656,136297664512,349690,122983451,0,65536
30-11 15:06:22,24.222,1.507,74.271,0,0,26461061120,103870676992,987078656,136346431488,349962,118225429,0,279175168
30-11 15:06:23,16.694,1.418,81.888,0,0,26659569664,103740530688,987078656,136279085056,362346,120509602,0,279175168
30-11 15:06:24,11.154,1.436,87.409,0,0,26163142656,104249995264,987078656,136266240000,367875,122164305,0,279240704
30-11 15:06:25,21.651,1.434,76.915,0,0,26063994880,104459227136,987090944,136158101504,352428,122213610,0,279969792
30-11 15:06:26,21.208,1.451,77.341,0,0,25971531776,104544641024,987090944,136164466688,357102,122216398,0,280059904
30-11 15:06:27,14.879,1.441,83.680,0,0,26199662592,104230096896,987090944,136247492608,363944,122029990,0,0
30-11 15:06:28,15.432,1.479,83.089,0,0,25912274944,104583352320,987090944,136185470976,39464,12554950,0,279240704
30-11 15:06:29,27.028,1.715,71.257,0,0,25991196672,104464670720,987090944,136223965184,340475,113217911,0,65536
30-11 15:06:30,12.408,1.185,86.407,0,0,25616080896,104981897216,987095040,136084140032,346774,118054936,0,280100864
30-11 15:06:31,15.907,1.283,82.797,0.014,0,25938243584,104602984448,987095040,136141533184,358067,122299451,0,280788992
30-11 15:06:32,23.528,1.740,74.732,0,0,26480881664,104184754176,987103232,136019259392,254181,84318554,0,279175168
30-11 15:06:33,26.060,1.474,72.466,0,0,26477719552,104086626304,987103232,136120254464,331405,111424271,0,65536
30-11 15:06:34,13.080,1.043,85.863,0.014,0,26569641984,104000192512,987103232,136113352704,111147,34551384,0,279175168
30-11 15:06:35,7.247,0.906,91.847,0,0,26036740096,104487559168,987111424,136158552064,323132,110886796,0,843776
30-11 15:06:36,17.614,1.254,81.132,0,0,25859919872,104633237504,987111424,136189542400,346254,119263352,0,279543808
30-11 15:06:37,14.097,1.698,84.205,0,0,26164117504,104388829184,987111424,136129581056,178203,61777156,0,279175168
30-11 15:06:38,22.408,1.628,75.964,0,0,26116374528,104375083008,987111424,136189878272,325017,109136642,0,65536
30-11 15:06:39,19.919,1.517,78.563,0,0,25975881728,104700141568,987111424,136010870784,361379,121428369,0,279240704
30-11 15:06:40,12.523,1.266,86.211,0,0,25603334144,105140989952,987119616,135945011200,367528,122313652,0,280084480
30-11 15:06:41,14.379,1.267,84.354,0,0,25916018688,104894103552,987123712,135879802880,244296,85013623,0,279502848
30-11 15:06:42,24.774,1.541,73.684,0,0,26441678848,104168296448,987123712,136076242944,15148,5962,0,0
30-11 15:06:43,22.227,1.585,76.188,0,0,26861232128,103699804160,987123712,136121704448,13804,10765,0,0
30-11 15:06:44,20.748,1.502,77.750,0,0,26749247488,103670108160,987123712,136261529600,327101,107488115,0,65536
30-11 15:06:45,9.660,0.993,89.319,0.028,0,26253639680,104271114240,987131904,136159010816,356506,122124079,0,279994368
30-11 15:06:46,9.862,1.282,88.842,0.014,0,25848668160,104642707456,987131904,136190849024,354530,122038382,0,279486464
30-11 15:06:47,14.659,1.669,83.658,0.014,0,26149224448,104386527232,987131904,136146526208,247035,86239265,0,279175168
30-11 15:06:48,16.118,1.548,82.334,0,0,25891213312,104590274560,987131904,136199774208,321805,105678474,0,65536
30-11 15:06:49,12.570,1.257,86.173,0,0,25515122688,105159245824,987131904,136011231232,369445,122327475,0,279240704
30-11 15:06:50,14.513,1.060,84.428,0,0,25227833344,105514573824,987136000,135945334784,373400,122319270,0,280059904
30-11 15:06:51,17.203,1.017,81.766,0.014,0,25606144000,105203576832,987136000,135879827456,252623,87564508,0,279592960
30-11 15:06:52,21.601,1.506,76.893,0,0,26126077952,104501399552,987136000,136057516032,3026,7414,0,0
30-11 15:06:53,18.315,1.363,80.323,0,0,26481192960,104098430976,987136000,136102141952,18395,6071,0,0
30-11 15:06:54,21.271,1.436,77.293,0,0,26300030976,104205713408,987136000,136174510080,318322,103344899,0,65536
30-11 15:06:55,11.504,1.363,87.105,0.028,0,25853919232,104751063040,987144192,136079937536,370955,122322424,0,279969792
30-11 15:06:56,21.421,1.216,77.363,0,0,25764388864,104903200768,987144192,136019513344,351575,121800033,0,279240704
30-11 15:06:57,11.834,0.874,87.278,0.014,0,25955860480,104691372032,987144192,136040247296,260211,90435778,0,280158208
30-11 15:06:58,8.544,0.943,90.513,0,0,25995677696,104562294784,987144192,136126640128,19547,14070,0,0
30-11 15:06:59,6.487,0.807,92.706,0,0,25438969856,105072242688,987144192,136172785664,301949,102544627,0,65536
