"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","nother-Super-Server",,,,"User:","nother"
"Cmdline:","dstat -tcmnd --output 0.01_10g.csv 1",,,,"Date:","30 Nov 2025 15:02:07 CST"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ"
30-11 15:02:07,0.132,0.014,99.854,0.000,0,23455633408,107531128832,986730496,135724138496,0,0,551217.655,374326.721
30-11 15:02:08,0.014,0.028,99.958,0,0,23455174656,107531587584,986730496,135724138496,26925,6637291,0,0
30-11 15:02:09,0.056,0.056,99.889,0,0,23455797248,107530637312,986738688,135724425216,311367,2507301,0,614400
30-11 15:02:10,0.097,0.014,99.889,0,0,23455567872,107530604544,986738688,135724687360,254955,5359,0,0
30-11 15:02:11,0.014,0.056,99.931,0,0,23455567872,107530604544,986738688,135724687360,364,2298,0,0
30-11 15:02:12,0.028,0.069,99.903,0,0,23456083968,107530088448,986738688,135724687360,840,2670,0,0
30-11 15:02:13,0.028,0.042,99.931,0,0,23455621120,107530551296,986738688,135724687360,2334,3402,0,0
30-11 15:02:14,0.014,0.056,99.931,0,0,23455612928,107530559488,986738688,135724687360,531,1890,0,0
30-11 15:02:15,0.069,0.042,99.889,0,0,23455916032,107530244096,986746880,135724691456,870,2586,0,131072
30-11 15:02:16,0.014,0.014,99.972,0,0,23455825920,107530334208,986746880,135724691456,483,876,0,0
30-11 15:02:17,0.028,0.069,99.903,0,0,23455866880,107530293248,986746880,135724691456,610,1836,0,0
30-11 15:02:18,0.014,0.069,99.917,0,0,23456210944,107529949184,986746880,135724691456,520,2154,0,0
30-11 15:02:19,0,0.014,99.986,0,0,23456210944,107529949184,986746880,135724691456,172,736,0,0
30-11 15:02:20,0,0.083,99.917,0,0,23455711232,107530448896,986746880,135724691456,411,1858,0,0
30-11 15:02:21,0.028,0.042,99.931,0,0,23455653888,107530506240,986755072,135724683264,461,1842,0,49152
30-11 15:02:22,0.680,0.278,99.042,0,0,23476383744,107509760000,986755072,135724691456,8319,5000,0,0
30-11 15:02:23,4.413,0.626,94.960,0,0,23644491776,107340251136,986755072,135725486080,4281,5624,0,0
30-11 15:02:24,10.011,0.652,89.337,0,0,23933046784,107051397120,986755072,135725785088,2970,8984,0,0
30-11 15:02:25,16.627,0.763,82.609,0,0,24305852416,106677886976,986755072,135726088192,9081,3098,0,0
30-11 15:02:26,6.844,0.320,92.836,0,0,24353574912,106630275072,986755072,135726092288,9181,7150,0,0
30-11 15:02:27,4.084,0.320,95.596,0,0,24383336448,106526953472,986755072,135799652352,3722,2383,0,466944
30-11 15:02:28,14.907,0.986,84.107,0,0,24778735616,106055843840,986755072,135874134016,5475,7848,0,0
30-11 15:02:29,12.665,0.904,86.431,0,0,25089265664,105562382336,986755072,136053571584,4478,10668,0,0
30-11 15:02:30,11.284,1.612,87.021,0.083,0,24673619968,105931788288,986755072,136098508800,12900,6451,0,800849920
30-11 15:02:31,7.104,0.806,92.090,0,0,24161648640,106531373056,986755072,136011710464,310213,103985339,0,0
30-11 15:02:32,13.632,0.849,85.520,0,0,24516530176,106241839104,986763264,135949824000,342127,120512021,0,20496384
30-11 15:02:33,15.054,0.808,84.125,0.014,0,24888549376,105918476288,986763264,135900876800,191188,67421090,0,279175168
30-11 15:02:34,12.387,0.682,86.931,0,0,25152352256,105467432960,986763264,136085258240,13943,6929,0,0
30-11 15:02:35,5.126,0.820,94.055,0,0,24584503296,106000318464,986763264,136118300672,1187,6753,0,622592
30-11 15:02:36,2.414,0.805,96.781,0,0,24014671872,106612072448,986763264,136079011840,295840,104213909,0,0
30-11 15:02:37,1.529,0.236,98.221,0.014,0,24014004224,106739212288,986775552,135955939328,350009,122155533,0,279601152
30-11 15:02:38,2.628,0.598,96.760,0.014,0,24045133824,106702655488,986775552,135959392256,188006,65543572,0,279175168
30-11 15:02:39,5.099,1.084,93.817,0,0,23634690048,107209039872,986775552,135865724928,5039,5526,0,65536
30-11 15:02:40,9.406,0.766,89.827,0,0,23934844928,106908020736,986775552,135865802752,298114,102248465,0,0
30-11 15:02:41,12.394,0.977,86.615,0.014,0,24237850624,106744643584,986775552,135726522368,139674,43719714,0,279175168
30-11 15:02:42,10.721,0.487,88.791,0,0,24421265408,106561011712,986775552,135726829568,15789,4903,0,0
30-11 15:02:43,14.115,0.723,85.162,0,0,24687140864,106220916736,986787840,135800766464,14982,7281,0,581632
30-11 15:02:44,12.441,0.487,87.073,0,0,24914583552,105919406080,986787840,135874703360,584,1713,0,0
30-11 15:02:45,12.680,0.680,86.640,0,0,25141170176,105496477696,986787840,136066277376,1349,6891,0,0
30-11 15:02:46,4.595,0.736,94.669,0,0,25146871808,105403772928,986787840,136149929984,1665,6783,0,0
30-11 15:02:47,3.580,0.780,95.640,0,0,24581824512,105897517056,986787840,136220909568,286834,99719988,0,65536
30-11 15:02:48,1.171,0.544,98.257,0.028,0,23444434944,107256320000,986796032,136005267456,348117,122276147,0,279625728
30-11 15:02:49,0.654,0.334,99.012,0,0,23467995136,107374735360,986796032,135865389056,350057,121190717,0,279175168
30-11 15:02:50,4.138,0.472,95.376,0.014,0,23602585600,107381108736,986796032,135725838336,269302,94677374,0,279175168
30-11 15:02:51,5.478,0.375,94.146,0,0,23743418368,107240071168,986796032,135726141440,1592,5611,0,0
30-11 15:02:52,3.668,0.250,96.082,0,0,23776882688,107206533120,986796032,135726141440,15095,6141,0,0
30-11 15:02:53,2.499,0.208,97.292,0,0,23801741312,107176505344,986800128,135730913280,3494,1831,0,458752
30-11 15:02:54,13.419,0.847,85.734,0,0,24179752960,106728800256,986800128,135800082432,4480,6185,0,0
30-11 15:02:55,10.941,0.767,88.293,0,0,24484540416,106401288192,986800128,135821250560,7394,11462,0,0
30-11 15:02:56,14.763,1.197,84.041,0,0,24820256768,105922125824,986800128,135962472448,13114,5403,0,0
30-11 15:02:57,16.354,1.473,82.173,0,0,24602562560,106232496128,986800128,135866912768,14424,12799,0,65536
30-11 15:02:58,23.072,1.595,75.333,0,0,25144778752,105615646720,986812416,135941267456,296170,97037773,0,786432
30-11 15:02:59,24.802,1.559,73.612,0.028,0,25721360384,105106419712,986812416,135876067328,157641,48927650,0,279175168
30-11 15:03:00,31.205,1.864,66.931,0,0,26383327232,104277794816,986812416,136038404096,13291,11760,0,0
30-11 15:03:01,24.736,2.087,73.178,0,0,26822463488,103705423872,986812416,136166010880,9969,5826,0,303104
30-11 15:03:02,18.094,1.940,79.967,0,0,26482966528,103885365248,986812416,136322146304,289656,95949254,0,65536
30-11 15:03:03,20.159,1.492,78.335,0.014,0,26171682816,104213352448,986824704,136307044352,358373,120338921,0,280035328
30-11 15:03:04,16.527,1.295,82.164,0.014,0,25854955520,104514547712,986824704,136321146880,350210,121562831,0,279240704
30-11 15:03:05,22.705,1.867,75.428,0,0,25798688768,104579870720,986824704,136310263808,355136,122026672,0,279240704
30-11 15:03:06,16.587,1.551,81.861,0,0,25578303488,104734420992,986824704,136376258560,347222,122710431,0,51003392
30-11 15:03:07,12.355,1.408,86.236,0,0,25217523712,105155624960,986824704,136318328832,361566,122370696,0,229171200
30-11 15:03:08,7.215,0.851,91.934,0,0,24685608960,105864245248,986836992,136146259968,359942,122179172,0,280035328
30-11 15:03:09,12.242,0.780,86.978,0,0,24352714752,106265223168,986836992,136080228352,344509,120574379,0,279240704
30-11 15:03:10,8.071,0.500,91.415,0.014,0,24516661248,106169638912,986836992,136014577664,332991,118429377,0,279175168
30-11 15:03:11,6.135,0.683,93.182,0,0,24597860352,106101841920,986836992,136000425984,289564,101535646,0,279420928
30-11 15:03:12,7.531,0.945,91.524,0,0,24755556352,105890848768,986836992,136051740672,5285,8486,0,0
30-11 15:03:13,10.642,1.542,87.816,0,0,24472924160,106218483712,986845184,136006615040,274811,92875068,0,745472
30-11 15:03:14,13.194,1.423,85.384,0,0,24225079296,106607808512,986845184,135867023360,367480,121397613,0,279240704
30-11 15:03:15,14.687,1.237,84.077,0,0,24565518336,106408525824,986845184,135727890432,238941,77648833,0,279175168
30-11 15:03:16,21.058,1.587,77.356,0,0,25113612288,105784442880,986845184,135802257408,20026,10247,0,65536
30-11 15:03:17,27.492,1.636,70.872,0,0,25797451776,105024630784,986845184,135876362240,20080,12558,0,0
30-11 15:03:18,23.637,1.408,74.955,0,0,26271010816,104383496192,986853376,136040062976,20447,7155,0,770048
30-11 15:03:19,29.148,1.905,68.947,0,0,26815741952,103704608768,986853376,136166617088,18177,11525,0,0
30-11 15:03:20,25.195,2.072,72.734,0,0,26679050240,103732711424,986853376,136272388096,285598,91448073,0,65536
30-11 15:03:21,15.415,1.697,82.860,0.028,0,26293186560,104096792576,986853376,136295464960,369372,122216378,0,279363584
30-11 15:03:22,28.098,1.747,70.127,0.028,0,26343190528,103949926400,986853376,136391843840,353887,122212371,0,279240704
30-11 15:03:23,18.899,1.612,79.489,0,0,26053496832,104253108224,986865664,136379039744,305256,102017976,0,279969792
30-11 15:03:24,20.017,1.616,78.367,0,0,25858744320,104458350592,986865664,136368193536,267099,90495635,0,65536
30-11 15:03:25,14.110,1.410,84.466,0.014,0,25563467776,104812265472,986865664,136310923264,349109,121123918,0,279240704
30-11 15:03:26,12.673,1.410,85.918,0,0,25218437120,105120325632,986865664,136348020736,350524,117711239,0,279937024
30-11 15:03:27,12.004,1.202,86.794,0,0,24830607360,105711648768,986865664,136148176896,369564,122018950,0,279240704
30-11 15:03:28,20.524,1.504,77.973,0,0,25317187584,105008648192,986877952,136359772160,347175,123049761,0,843776
30-11 15:03:29,13.780,1.074,85.146,0,0,24984276992,105551921152,986877952,136155193344,347740,117977372,0,279240704
30-11 15:03:30,16.664,1.064,82.272,0,0,25253318656,105319047168,986877952,136121339904,364428,122122790,0,279175168
30-11 15:03:31,9.029,0.974,89.997,0,0,25327788032,105273712640,986877952,136092147712,176026,61264066,0,280018944
30-11 15:03:32,20.307,1.395,78.298,0,0,25265721344,105133645824,986877952,136289042432,257132,88953069,0,65536
30-11 15:03:33,9.737,1.090,89.159,0.014,0,24878526464,105706319872,986890240,136107769856,349790,121086028,0,279896064
30-11 15:03:34,10.941,1.449,87.610,0,0,25049309184,105595662336,986890240,136046202880,246627,81884417,0,279240704
30-11 15:03:35,9.503,0.877,89.620,0,0,24642007040,106046455808,986890240,136007634944,254735,87837991,0,65536
30-11 15:03:36,9.485,0.768,89.747,0,0,24258002944,106499227648,986890240,135941603328,357414,121904633,0,279486464
30-11 15:03:37,6.044,0.431,93.525,0,0,24347009024,106513879040,986890240,135837573120,236075,82176169,0,279175168
30-11 15:03:38,2.128,0.459,97.413,0,0,24002199552,106789367808,986898432,135908167680,109790,36915063,0,71294976
30-11 15:03:39,1.348,0.361,98.290,0,0,24003657728,106826448896,986898432,135867301888,3492,6461,0,0
30-11 15:03:40,0.056,0.181,99.763,0,0,23434366976,107396026368,986898432,135867244544,251892,87008021,0,65536
30-11 15:03:41,0.056,0.125,99.805,0.014,0,23434874880,107537506304,986898432,135727656960,165430,58946151,0,279175168
30-11 15:03:42,0.611,0.083,99.305,0,0,23434637312,107538063360,986898432,135727337472,5901394,3487,0,1114112
30-11 15:03:43,1.319,0.083,98.597,0,0,23434559488,107538128896,986906624,135727341568,5236759,2466,0,360448
30-11 15:03:44,0.028,0.056,99.917,0,0,23434559488,107538128896,986906624,135727341568,2919,1337,0,0
30-11 15:03:45,0.014,0.083,99.903,0,0,23434584064,107538038784,986906624,135727407104,2646,2642,0,0
30-11 15:03:46,0.014,0.056,99.931,0,0,23435100160,107537522688,986906624,135727407104,1346,736,0,0
30-11 15:03:47,0.042,0.014,99.944,0,0,23434502144,107538120704,986906624,135727407104,292,2058,0,507904
30-11 15:03:48,0.014,0.069,99.917,0,0,23435018240,107537604608,986906624,135727407104,640,2346,0,0
30-11 15:03:49,0.014,0.028,99.958,0,0,23435018240,107537604608,986910720,135727403008,292,736,0,163840
30-11 15:03:50,0,0.083,99.917,0,0,23434817536,107537797120,986910720,135727407104,591,1122,0,0
30-11 15:03:51,0.014,0.056,99.931,0,0,23434809344,107537805312,986910720,135727407104,581,1626,0,0
30-11 15:03:52,0,0.014,99.986,0,0,23434809344,107537805312,986910720,135727407104,351,736,0,401408
30-11 15:03:53,0.014,0.069,99.917,0,0,23434743808,107537870848,986910720,135727407104,292,1418,0,0
30-11 15:03:54,0.014,0.056,99.931,0,0,23434702848,107537911808,986910720,135727407104,700,2306,0,0
30-11 15:03:55,0.014,0.014,99.972,0,0,23434702848,107537911808,986910720,135727407104,594,736,0,0
30-11 15:03:56,0.014,0.056,99.931,0,0,23434719232,107537895424,986910720,135727407104,411,1674,0,0
30-11 15:03:57,0.028,0.069,99.903,0,0,23434719232,107537895424,986918912,135727398912,461,1906,0,450560
30-11 15:03:58,0.014,0.028,99.958,0,0,23434719232,107537895424,986918912,135727398912,2673,744,0,0
30-11 15:03:59,0.014,0.056,99.931,0,0,23434768384,107537838080,986918912,135727407104,532,1690,0,0
30-11 15:04:00,0.028,0.069,99.903,0,0,23434719232,107537887232,986918912,135727407104,580,2554,0,0
30-11 15:04:01,0.014,0.014,99.972,0,0,23434719232,107537887232,986918912,135727407104,232,736,0,0
30-11 15:04:02,0.014,0.056,99.931,0,0,23434739712,107537862656,986923008,135727407104,657,2200,0,532480
30-11 15:04:03,0.028,0.056,99.917,0,0,23434723328,107537879040,986923008,135727407104,2389,2554,0,0
30-11 15:04:04,0,0.028,99.972,0,0,23434723328,107537879040,986923008,135727407104,351,736,0,0
30-11 15:04:05,0.028,0.056,99.917,0,0,23434756096,107537846272,986923008,135727407104,474,1938,0,0
30-11 15:04:06,0.028,0.056,99.917,0,0,23435272192,107537330176,986923008,135727407104,1229,1666,0,0
30-11 15:04:07,0.028,0.014,99.958,0,0,23434756096,107537838080,986931200,135727407104,562,790,0,1531904
30-11 15:04:08,0,0.069,99.931,0,0,23434747904,107537846272,986931200,135727407104,531,1490,0,0
30-11 15:04:09,0,0.014,99.986,0,0,23434747904,107537846272,986931200,135727407104,461,1288,0,0
30-11 15:04:10,0.083,0.069,99.847,0,0,23434747904,107537846272,986931200,135727407104,471,1874,0,0
30-11 15:04:11,0.028,0.069,99.903,0,0,23434698752,107537895424,986931200,135727407104,430,2430,0,0
30-11 15:04:12,0,0.014,99.986,0,0,23434698752,107537895424,986939392,135727398912,400,1288,0,262144
30-11 15:04:13,0.014,0.056,99.931,0,0,23434723328,107537870848,986939392,135727398912,412,1458,0,0
30-11 15:04:14,0.014,0.056,99.931,0,0,23435239424,107537354752,986939392,135727398912,411,1530,0,0
30-11 15:04:15,0.014,0.028,99.958,0,0,23434731520,107537854464,986939392,135727407104,870,1394,0,0
