"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","nother-Super-Server",,,,"User:","nother"
"Cmdline:","dstat -tcmnd --output 1.0_10g.csv 1",,,,"Date:","30 Nov 2025 15:14:43 CST"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ"
30-11 15:14:43,0.132,0.014,99.853,0.000,0,23404490752,97204039680,987672576,145810026496,0,0,551151.289,385739.209
30-11 15:14:44,0,0,100,0,0,23404781568,97203748864,987672576,145810026496,471,1232,0,0
30-11 15:14:45,0.194,0.264,99.542,0,0,23404773376,97203757056,987672576,145810026496,77129,20351426,0,0
30-11 15:14:46,0.042,0.069,99.889,0,0,23405412352,97202548736,987672576,145810579456,564649,153408,0,0
30-11 15:14:47,0.014,0.028,99.958,0,0,23405412352,97202548736,987672576,145810579456,814,1198,0,0
30-11 15:14:48,0.042,0.042,99.917,0,0,23405379584,97202581504,987672576,145810579456,1470,2880,0,0
30-11 15:14:49,0.014,0.056,99.931,0,0,23405895680,97202065408,987680768,145810571264,1972,2152,0,1253376
30-11 15:14:50,0.014,0.014,99.972,0,0,23405420544,97202532352,987680768,145810579456,411,744,0,0
30-11 15:14:51,0.028,0.056,99.917,0,0,23405363200,97202589696,987680768,145810579456,581,2690,0,0
30-11 15:14:52,0.014,0.069,99.917,0,0,23405420544,97202532352,987680768,145810579456,531,1314,0,0
30-11 15:14:53,0.014,0.014,99.972,0,0,23405420544,97202532352,987680768,145810579456,634,1198,0,0
30-11 15:14:54,0.014,0.056,99.931,0,0,23405346816,97202606080,987680768,145810579456,640,2194,0,16384
30-11 15:14:55,0.014,0.056,99.931,0,0,23405322240,97202630656,987680768,145810579456,292,1898,0,24576
30-11 15:14:56,0.014,0.014,99.972,0,0,23405322240,97202630656,987680768,145810579456,473,744,0,0
30-11 15:14:57,0.028,0.056,99.917,0,0,23405322240,97202630656,987680768,145810579456,341,2226,0,0
30-11 15:14:58,0.028,0.028,99.944,0,0,23405322240,97202630656,987680768,145810579456,351,1618,0,0
30-11 15:14:59,0.014,0.028,99.958,0,0,23405322240,97202630656,987680768,145810579456,540,736,0,0
30-11 15:15:00,2.221,0.416,97.363,0,0,23478452224,97128992768,987680768,145811243008,8334,7036,0,0
30-11 15:15:01,3.686,0.403,95.911,0,0,23605481472,97001967616,987680768,145811238912,2397,6100,0,0
30-11 15:15:02,4.791,0.237,94.972,0,0,23727271936,96879726592,987680768,145811542016,3227,2115,0,0
30-11 15:15:03,10.106,0.417,89.477,0,0,23961792512,96645066752,987680768,145811542016,8011,4418,0,0
30-11 15:15:04,1.889,0.056,98.055,0,0,23962791936,96640471040,987680768,145815154688,351,861,0,0
30-11 15:15:05,1.529,0.264,98.207,0,0,23961092096,96571846656,987684864,145885483008,531,5001,0,41558016
30-11 15:15:06,2.237,0.139,97.624,0,0,23968178176,96434872320,987684864,146015363072,1256,4213,0,0
30-11 15:15:07,3.183,0.598,96.220,0,0,23492816896,96972578816,987693056,145950883840,7409,6876,0,147456
30-11 15:15:08,6.383,0.709,92.908,0,0,23706427392,96758804480,987693056,145951014912,6878,7472,0,0
30-11 15:15:09,10.517,0.836,88.647,0,0,24019435520,96444313600,987693056,145951449088,19284,10812,0,0
30-11 15:15:10,20.603,1.070,78.327,0,0,24579411968,95883472896,987693056,145951883264,20301,5793,0,0
30-11 15:15:11,16.324,1.043,82.633,0,0,24962781184,95451561984,987693056,145999425536,19931,13647,0,0
30-11 15:15:12,16.551,1.112,82.337,0,0,25301721088,95019274240,987697152,146091958272,20194,12688,0,892928
30-11 15:15:13,20.878,1.094,78.027,0,0,25772171264,94386507776,987697152,146250764288,16438,5444,0,0
30-11 15:15:14,20.070,1.447,78.483,0,0,26134884352,93885239296,987697152,146385346560,17718,11296,0,0
30-11 15:15:15,16.632,1.338,81.974,0.056,0,25902821376,93966286848,987697152,146531700736,5030,9425,0,728039424
30-11 15:15:16,24.948,1.347,73.705,0,0,26030718976,93672185856,987697152,146695200768,6155,7866,0,0
