"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","nother-Super-Server",,,,"User:","nother"
"Cmdline:","dstat -tcmnd --output 0.5_10g.csv 1",,,,"Date:","30 Nov 2025 15:09:45 CST"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ"
30-11 15:09:45,0.132,0.014,99.854,0.000,0,23413592064,107552780288,987258880,135729942528,0,0,551177.474,377835.863
30-11 15:09:46,0.069,0.056,99.875,0,0,23413592064,107552780288,987258880,135729942528,39473,13310905,0,57344
30-11 15:09:47,0.056,0.028,99.917,0,0,23414145024,107551666176,987258880,135730495488,601956,1666099,0,0
30-11 15:09:48,1.678,0.055,98.266,0,0,23413567488,107552243712,987258880,135730495488,10930497,3020,0,0
30-11 15:09:49,0.875,0.083,99.041,0,0,23413243904,107552567296,987262976,135730491392,240165,3012,0,163840
30-11 15:09:50,0.028,0.014,99.958,0,0,23413239808,107552567296,987262976,135730495488,1089,942,0,0
30-11 15:09:51,0.014,0.056,99.931,0,0,23413231616,107552575488,987262976,135730495488,598,2326,0,1613824
30-11 15:09:52,0.014,0.097,99.889,0,0,23413223424,107552583680,987262976,135730495488,703,2482,0,0
30-11 15:09:53,0,0.014,99.986,0,0,23413223424,107552583680,987262976,135730495488,364,868,0,0
30-11 15:09:54,0.028,0.042,99.931,0,0,23413739520,107552067584,987262976,135730495488,603,1878,0,0
30-11 15:09:55,0.042,0.042,99.917,0,0,23413313536,107552493568,987267072,135730491392,407,1884,0,155648
30-11 15:09:56,0.014,0.028,99.958,0,0,23413313536,107552493568,987267072,135730491392,473,744,0,0
30-11 15:09:57,0.014,0.056,99.931,0,0,23413309440,107552493568,987267072,135730495488,232,1730,0,0
30-11 15:09:58,0.028,0.069,99.903,0,0,23413252096,107552550912,987267072,135730495488,700,2482,0,0
30-11 15:09:59,0.028,0.014,99.958,0,0,23413252096,107552550912,987267072,135730495488,396,736,0,0
30-11 15:10:00,0.028,0.069,99.903,0,0,23413252096,107552550912,987267072,135730495488,537,1452,0,0
30-11 15:10:01,0.028,0.056,99.917,0,0,23413325824,107552477184,987267072,135730495488,1755,3060,0,0
30-11 15:10:02,0.028,0.014,99.958,0,0,23413325824,107552477184,987267072,135730495488,1643,868,0,0
30-11 15:10:03,0.014,0.056,99.931,0,0,23413243904,107552559104,987267072,135730495488,292,2248,0,0
30-11 15:10:04,0.028,0.028,99.944,0,0,23413760000,107552043008,987267072,135730495488,520,1288,0,0
30-11 15:10:05,0.056,0.042,99.903,0,0,23414415360,107551387648,987267072,135730495488,2914,3986,0,0
30-11 15:10:06,0.028,0.056,99.917,0,0,23414407168,107551395840,987267072,135730495488,2489,2050,0,507904
30-11 15:10:07,0,0.014,99.986,0,0,23414403072,107551395840,987267072,135730495488,491,1350,0,0
30-11 15:10:08,0.014,0.083,99.903,0,0,23414194176,107551604736,987267072,135730495488,603,2210,0,0
30-11 15:10:09,2.291,0.528,97.181,0,0,23490736128,107474276352,987271168,135731163136,8194,7155,0,65536
30-11 15:10:10,3.849,0.292,95.859,0,0,23618551808,107346239488,987271168,135731154944,1770,2978,0,0
30-11 15:10:11,5.354,0.334,94.312,0,0,23734644736,107229700096,987271168,135731462144,12924,6261,0,2293760
30-11 15:10:12,2.862,0.208,96.929,0,0,23746183168,107218186240,987271168,135731462144,597,3965,0,0
30-11 15:10:13,1.625,0.111,98.263,0,0,23747956736,107157852160,987271168,135790039040,644,1415,0,0
30-11 15:10:14,8.580,0.416,91.004,0,0,23971725312,106918715392,987279360,135805399040,896,3665,0,532480
30-11 15:10:15,2.071,0.264,97.665,0,0,23972458496,106809614336,987279360,135913725952,1017,3459,0,0
30-11 15:10:16,3.487,0.708,95.777,0.028,0,23500898304,107320889344,987279360,135870799872,4788,4840,0,279887872
30-11 15:10:17,6.542,0.612,92.845,0,0,23735459840,107086008320,987279360,135871234048,5229,7764,0,0
30-11 15:10:18,8.860,0.654,90.487,0,0,23956475904,106864816128,987279360,135871295488,16670,10504,0,0
30-11 15:10:19,15.930,0.697,83.373,0,0,24378822656,106441371648,987291648,135871668224,18820,5003,0,753664
30-11 15:10:20,7.994,0.541,91.464,0,0,24515018752,106250240000,987291648,135926751232,1967,7355,0,0
30-11 15:10:21,8.538,0.500,90.962,0,0,24635465728,106056863744,987291648,135999614976,14963,7140,0,0
30-11 15:10:22,12.852,0.624,86.524,0,0,24867348480,105703788544,987291648,136118378496,1371,3343,0,0
30-11 15:10:23,5.327,0.583,94.090,0,0,24873615360,105628831744,987291648,136184913920,1065,6575,0,0
30-11 15:10:24,10.949,1.344,87.706,0,0,24615735296,105843712000,987291648,136225042432,3845,2540,0,483328
30-11 15:10:25,8.251,0.892,90.857,0,0,24260145152,106142023680,987291648,136282243072,6455,11564,0,65536
30-11 15:10:26,12.930,0.877,86.193,0,0,24574672896,105816076288,987291648,136291217408,17119,10014,0,0
30-11 15:10:27,10.895,0.570,88.535,0,0,24306364416,106086088704,987291648,136290484224,15565,4642,0,65536
30-11 15:10:28,4.204,0.291,95.504,0,0,24311508992,106007007232,987291648,136364421120,1119,7371,0,0
30-11 15:10:29,9.885,0.485,89.630,0,0,24534593536,105639825408,987299840,136505589760,611,4075,0,540672
30-11 15:10:30,2.850,0.292,96.858,0,0,24535838720,105634676736,987299840,136507113472,1291,3441,0,0
30-11 15:10:31,2.060,0.473,97.467,0,0,23967236096,106042048512,987299840,136667152384,521,6486,0,65536
30-11 15:10:32,3.256,0.501,96.243,0,0,23477878784,106630066176,987299840,136569040896,4576,7388,0,65536
30-11 15:10:33,3.920,0.292,95.788,0,0,23609544704,106498625536,987299840,136569044992,1842,2389,0,0
30-11 15:10:34,5.795,0.375,93.830,0,0,23727288320,106380693504,987308032,136569348096,8730,6345,0,491520
30-11 15:10:35,2.788,0.166,97.045,0,0,23732092928,106375897088,987308032,136569348096,478,3631,0,0
30-11 15:10:36,1.597,0.111,98.291,0,0,23733641216,106311901184,987308032,136631795712,593,861,0,0
30-11 15:10:37,7.431,0.485,92.001,0.083,0,23959433216,106037248000,987308032,136680157184,844,5939,0,838721536
30-11 15:10:38,1.836,0.292,97.872,0,0,23961710592,106002591744,987308032,136708943872,878,4721,0,0
30-11 15:10:39,2.129,0.362,97.509,0,0,23474569216,106490552320,987312128,136708685824,3924,1698,0,638976
30-11 15:10:40,3.822,0.347,95.831,0,0,23602028544,106363027456,987312128,136708685824,2303,6142,0,0
