"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","nother-Super-Server",,,,"User:","nother"
"Cmdline:","dstat -tcmnd --output 1.0_20g.csv 1",,,,"Date:","26 Nov 2025 14:37:51 CST"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ"
26-11 14:37:51,0.133,0.014,99.854,0.000,0,24358506496,90307858432,688816128,151730810880,0,0,580410.653,257843.958,
26-11 14:37:52,0.056,0.028,99.917,0,0,24358797312,90307502080,688816128,151730810880,48523,6538851,0,0,
26-11 14:37:53,0.167,0.083,99.750,0,0,24358895616,90307403776,688816128,151730810880,333338,10326266,0,0,
26-11 14:37:54,0.597,0.250,99.153,0,0,24374726656,90288848896,688816128,151732023296,261193,9932,0,0,
26-11 14:37:55,4.031,0.389,95.580,0,0,24508928000,90154840064,688816128,151732101120,966,1323,0,0,
26-11 14:37:56,4.578,0.277,95.145,0,0,24707944448,89955819520,688816128,151732105216,1990,4099,0,0,
26-11 14:37:57,4.854,0.208,94.938,0,0,24807383040,89856372736,688824320,151732105216,2823,3006,0,458752,
26-11 14:37:58,4.774,0.181,95.045,0,0,24838205440,89825542144,688824320,151732113408,232,837,0,0,
26-11 14:37:59,5.312,0.167,94.521,0,0,24874455040,89789014016,688824320,151732387840,3806,6103,0,0,
26-11 14:38:00,0.167,0.014,99.819,0,0,24875282432,89788112896,688824320,151732461568,1748,3332,0,0,
26-11 14:38:01,0.097,0.042,99.861,0,0,24875266048,89788129280,688824320,151732461568,1559,2094,0,0,
26-11 14:38:02,2.682,0.334,96.984,0,0,24956407808,89706381312,688832512,151732535296,2505,3710,0,139264,
26-11 14:38:03,7.191,0.542,92.267,0,0,25217441792,89444057088,688832512,151732727808,2194,3033,0,0,
26-11 14:38:04,13.752,0.847,85.401,0,0,25633673216,89026285568,688832512,151733465088,15404,4656,0,0,
26-11 14:38:05,12.580,0.808,86.612,0,0,25914630144,88745005056,688832512,151733813248,11137,4333,0,0,
26-11 14:38:06,15.262,1.090,83.648,0,0,26283360256,88315052032,688832512,151793070080,9807,5036,0,0,
26-11 14:38:07,29.763,1.560,68.677,0,0,27012538368,87493906432,688844800,151882358784,9751,4556,0,630784,
26-11 14:38:08,15.888,1.057,83.055,0,0,27259035648,87143075840,688844800,151983824896,14746,4937,0,0,
26-11 14:38:09,21.781,1.338,76.881,0,0,27621142528,86456778752,688844800,152299921408,10619,8262,0,0,
26-11 14:38:10,17.788,1.412,80.800,0,0,27292459008,86855446528,688844800,152231464960,5401,7034,0,65536,
26-11 14:38:11,16.660,1.407,81.933,0,0,27027230720,86870294528,688844800,152476680192,6110,2757,0,65536,
26-11 14:38:12,16.848,1.224,81.928,0,0,26806489088,86947508224,688857088,152615432192,5667,9324,0,516096,
26-11 14:38:13,11.859,1.117,87.023,0,0,26446143488,87286956032,688857088,152635772928,12068,6013,0,65536,
26-11 14:38:14,11.794,1.394,86.812,0,0,26096459776,87606231040,688857088,152664584192,3566,5052,0,65536,
26-11 14:38:15,13.322,1.201,85.477,0,0,25838329856,87921049600,688857088,152609607680,13425,7179,0,180224,
26-11 14:38:16,22.909,1.431,75.660,0,0,26386198528,87334973440,688857088,152645963776,8217,7630,0,0,
26-11 14:38:17,17.406,1.311,81.283,0,0,26737577984,86932709376,688869376,152694644736,15391,6830,0,630784,
26-11 14:38:18,24.133,1.449,74.418,0,0,27230441472,86222544896,688869376,152907153408,18877,6067,0,0,
26-11 14:38:19,26.267,1.197,72.536,0,0,27249889280,86246494208,688869376,152864305152,19114,5672,0,65536,
26-11 14:38:20,17.852,0.986,81.161,0,0,27495739392,85765259264,688869376,153094049792,2586,6169,0,622592,
26-11 14:38:21,8.094,1.331,90.575,0,0,26937987072,86163214336,688869376,153250680832,5688,10036,0,65536,
26-11 14:38:22,15.605,1.321,83.074,0,0,26674323456,86294220800,688881664,153379565568,4350,7846,0,507904,
26-11 14:38:23,10.365,1.198,88.437,0,0,26309586944,86548881408,688881664,153485586432,7339,4931,0,65536,
26-11 14:38:24,14.349,1.359,84.292,0,0,26059718656,86765924352,688881664,153517330432,17754,7525,0,65536,
26-11 14:38:25,16.338,1.432,82.230,0,0,25821085696,87115063296,688881664,153409560576,974512,5359,0,3244032,
26-11 14:38:26,14.083,0.778,85.139,0,0,26069934080,86857240576,688881664,153419345920,22035,8744,0,0,
26-11 14:38:27,21.351,1.337,77.312,0,0,26527358976,86322876416,688893952,153493803008,21479,10330,0,745472,
26-11 14:38:28,21.647,1.099,77.254,0,0,26970750976,85799059456,688893952,153571553280,15746,4939,0,0,
26-11 14:38:29,22.338,1.322,76.340,0,0,27448827904,85094187008,688893952,153792585728,4869,5471,0,0,
26-11 14:38:30,28.565,1.653,69.782,0,0,27494252544,84927287296,688893952,153911169024,25228,7688,0,65536,
26-11 14:38:31,17.461,1.014,81.525,0,0,27195920384,85177085952,688893952,153958993920,11606,7410,0,565248,
26-11 14:38:32,8.832,1.085,90.083,0,0,27248685056,84954583040,688906240,154124623872,6365,8793,0,671744,
26-11 14:38:33,9.728,1.240,89.031,0,0,26304344064,85897183232,688906240,154126290944,3969,7254,0,131072,
26-11 14:38:34,14.236,1.249,84.515,0,0,26627338240,85405462528,688906240,154291294208,4346,4387,0,0,
26-11 14:38:35,17.283,1.556,81.161,0,0,26388598784,85584408576,688906240,154347786240,16994,5759,0,65536,
26-11 14:38:36,21.960,1.209,76.831,0,0,26304929792,85771759616,688906240,154247860224,17465,6426,0,458752,
26-11 14:38:37,26.507,1.125,72.369,0,0,26902552576,85097820160,688918528,154322108416,18423,8124,0,737280,
26-11 14:38:38,10.512,0.570,88.918,0,0,27009761280,84913922048,688918528,154396180480,18310,8285,0,0,
26-11 14:38:39,12.448,1.045,86.507,0,0,27213774848,84489170944,688918528,154610446336,3436,4826,0,0,
26-11 14:38:40,22.524,1.732,75.745,0,0,27226738688,84318965760,688918528,154763636736,4117,5088,0,0,
26-11 14:38:41,15.118,1.415,83.412,0.055,0,27334098944,84139253760,688922624,154833969152,18507,5292,0,838107136,
26-11 14:38:42,11.573,1.461,86.966,0,0,26346577920,85079879680,688934912,154880339968,17136,7680,0,901120,
26-11 14:38:43,16.521,1.445,82.034,0,0,26381426688,85033938944,688934912,154891022336,7066,8314,0,0,
26-11 14:38:44,15.918,0.837,83.245,0,0,26440769536,84899962880,688934912,154963681280,16704,7979,0,65536,
26-11 14:38:45,11.065,0.751,88.185,0,0,26641915904,84532584448,688934912,155125895168,111252,4152,0,0,
