"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","nother-Super-Server",,,,"User:","nother"
"Cmdline:","dstat -tcmnd --output 0.01_20g.csv 1",,,,"Date:","26 Nov 2025 14:56:59 CST"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ"
26-11 14:56:59,0.133,0.014,99.853,0.000,0,24357584896,116186353664,690548736,126541713408,0,0,580298.276,282758.950,
26-11 14:57:00,0.111,0.028,99.861,0,0,24358264832,116185526272,690548736,126541721600,23164,8743540,0,0,
26-11 14:57:01,0.056,0.028,99.917,0,0,24358318080,116184911872,690548736,126542282752,576144,356870,0,0,
26-11 14:57:02,1.821,0.417,97.761,0,0,24419323904,116123590656,690548736,126542966784,11844,6916,0,0,
26-11 14:57:03,3.655,0.320,96.025,0,0,24571609088,115970592768,690548736,126543015936,1301,837,0,0,
26-11 14:57:04,4.389,0.264,95.347,0,0,24718016512,115824181248,690548736,126543020032,4000,5231,0,0,
26-11 14:57:05,4.812,0.236,94.952,0,0,24817676288,115724509184,690556928,126543024128,1021,1676,0,409600,
26-11 14:57:06,6.373,0.319,93.308,0,0,24863641600,115678539776,690556928,126543028224,232,839,0,0,
26-11 14:57:07,4.351,0.153,95.496,0,0,24880168960,115661668352,690556928,126543372288,2977,5230,0,0,
26-11 14:57:08,0.639,0.069,99.292,0,0,24883273728,115658563584,690556928,126543372288,1459,2976,0,0,
26-11 14:57:09,0.056,0.028,99.917,0,0,24883273728,115658563584,690556928,126543372288,1494,2360,0,0,
26-11 14:57:10,2.434,0.264,97.302,0,0,24954507264,115587297280,690565120,126543396864,2445,3758,0,327680,
26-11 14:57:11,6.016,0.627,93.357,0,0,25166233600,115374252032,690565120,126543634432,5128,3426,0,0,
26-11 14:57:12,11.185,1.003,87.812,0,0,25495007232,115043721216,690565120,126544068608,4062,4426,0,0,
26-11 14:57:13,21.432,1.186,77.382,0,0,26060619776,114477260800,690565120,126544506880,15909,4857,0,0,
26-11 14:57:14,22.707,1.288,76.004,0,0,26618810368,113918201856,690565120,126544941056,11177,5117,0,0,
26-11 14:57:15,18.199,1.373,80.427,0,0,26966700032,113494511616,690565120,126619312128,4509,4323,0,9748480,
26-11 14:57:16,23.873,1.346,74.782,0,0,27463839744,112912605184,690577408,126701305856,15453,4945,0,835584,
26-11 14:57:17,22.412,1.167,76.421,0,0,27827048448,112329166848,690577408,126916222976,10409,8276,0,0,
26-11 14:57:18,18.379,1.333,80.289,0,0,28070039552,111906406400,690577408,127091507200,3606,5847,0,0,
26-11 14:57:19,15.069,1.057,83.874,0,0,27159920640,112711696384,690577408,127193563136,2789,7734,0,0,
26-11 14:57:20,8.696,1.364,89.843,0.097,0,26675556352,113017819136,690577408,127367520256,4840,6630,0,1004290048,
26-11 14:57:21,11.282,1.277,87.441,0,0,26587099136,113014894592,690589696,127457906688,4138,3607,0,655360,
26-11 14:57:22,13.537,1.904,84.559,0,0,26061365248,113517596672,690589696,127481085952,14996,10645,0,0,
26-11 14:57:23,12.577,1.043,86.380,0,0,25741471744,113938509824,690589696,127382372352,12642,10994,0,0,
26-11 14:57:24,10.468,0.585,88.948,0,0,25883254784,113762254848,690589696,127416229888,9662,9351,0,0,
26-11 14:57:25,21.096,0.888,78.017,0,0,26355232768,113231699968,690589696,127473319936,14195,7974,0,279306240,
26-11 14:57:26,12.649,0.445,86.906,0,0,26579779584,112899399680,690601984,127578652672,4218,7834,0,655360,
26-11 14:57:27,5.210,0.651,94.139,0,0,26581610496,112632774656,690601984,127836950528,6158,7532,0,0,
26-11 14:57:28,4.478,0.957,94.565,0,0,26017972224,113149788160,690601984,127882801152,8038,11875,0,65536,
26-11 14:57:29,2.904,0.570,96.526,0,0,25457479680,113685954560,690601984,127906705408,7589,9882,0,65536,
26-11 14:57:30,1.155,0.278,98.567,0,0,24891731968,114361032704,690601984,127800393728,6196,8797,0,65536,
26-11 14:57:31,2.281,0.348,97.372,0,0,24967811072,114284511232,690614272,127800528896,6166,7541,0,425984,
26-11 14:57:32,3.850,0.375,95.775,0,0,25090691072,114161385472,690614272,127800545280,6657,8457,0,0,
26-11 14:57:33,5.211,0.667,94.122,0,0,25198206976,114032664576,690614272,127821037568,21673226,71915,0,0,
26-11 14:57:34,0.987,1.891,97.080,0.042,0,25200693248,113875709952,690614272,127971397632,123017746,342262,0,837525504,
26-11 14:57:35,2.670,1.460,95.856,0.014,0,25279950848,113709539328,690614272,128055435264,121515066,332790,0,837525504,
26-11 14:57:36,4.286,0.584,95.129,0,0,25408757760,113460793344,690626560,128172097536,122005235,338090,0,589824,
26-11 14:57:37,5.790,0.670,93.541,0,0,25531170816,113221926912,690626560,128285253632,118078890,329517,0,0,
26-11 14:57:38,9.601,0.725,89.674,0,0,25766895616,112869715968,690626560,128398610432,118404785,328388,0,0,
26-11 14:57:39,3.965,0.529,95.506,0,0,25839984640,112658137088,690626560,128532824064,119439121,324374,0,0,
26-11 14:57:40,5.936,0.918,93.146,0,0,25966710784,112354476032,690626560,128704618496,123047157,325107,0,0,
26-11 14:57:41,8.987,0.972,90.040,0,0,26168143872,111968337920,690638848,128884068352,118825041,299612,0,344064,
26-11 14:57:42,17.979,1.533,80.488,0,0,26603700224,111275741184,690638848,129133502464,119079288,269295,0,0,
26-11 14:57:43,12.909,1.530,85.547,0.014,0,26280095744,111479443456,690638848,129250467840,118467215,270355,0,129302528,
26-11 14:57:44,12.056,1.254,86.676,0.014,0,26438492160,111246147584,690638848,129323790336,121234843,274974,0,149938176,
26-11 14:57:45,8.685,1.041,90.275,0,0,26467065856,110938800128,690638848,129595887616,121693761,308976,0,0,
26-11 14:57:46,14.538,1.530,83.932,0,0,26701168640,110255591424,690651136,130032386048,122975849,313105,0,663552,
26-11 14:57:47,12.606,1.555,85.839,0,0,26353639424,110229950464,690651136,130396295168,119687011,323406,0,65536,
26-11 14:57:48,6.838,1.181,91.953,0.028,0,26419535872,109889224704,690651136,130664300544,119458378,310189,0,279175168,
26-11 14:57:49,8.217,1.738,90.044,0,0,25976479744,109929730048,690651136,131055628288,119197330,282504,0,65536,
