"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","nother-Super-Server",,,,"User:","nother"
"Cmdline:","dstat -tcmnd --output 0.05_20g.csv 1",,,,"Date:","26 Nov 2025 00:23:36 CST"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ"
26-11 00:23:36,0.133,0.014,99.853,0.000,0,23557419008,112038739968,635658240,131436281856,0,0,585441.979,237667.672
26-11 00:23:37,0.014,0.028,99.958,0,0,23557419008,112038739968,635658240,131436281856,26108,8777643,0,0
26-11 00:23:38,0.028,0,99.972,0,0,23558045696,112037744640,635658240,131436601344,573597,16741,0,0
26-11 00:23:39,2.517,0.431,97.051,0,0,23638192128,111955709952,635658240,131437555712,10659,6729,0,0
26-11 00:23:40,3.601,0.292,96.107,0,0,23827177472,111766704128,635658240,131437576192,880,1081,0,0
26-11 00:23:41,4.385,0.223,95.393,0,0,23921041408,111672836096,635666432,131437572096,4087,5474,0,598016
26-11 00:23:42,4.344,0.167,95.489,0,0,24005959680,111587905536,635666432,131437584384,457,1418,0,0
26-11 00:23:43,6.158,0.195,93.647,0,0,24059867136,111533993984,635666432,131437588480,230,859,0,0
26-11 00:23:44,4.303,0.194,95.503,0,0,24069066752,111524446208,635666432,131437928448,4486,6261,0,0
26-11 00:23:45,0.222,0.028,99.750,0,0,24071131136,111522381824,635666432,131437928448,1541,3221,0,0
26-11 00:23:46,0.083,0.014,99.903,0,0,24071999488,111521509376,635666432,131437932544,1299,1918,0,0
26-11 00:23:47,0.500,0.069,99.430,0,0,24073560064,111519936512,635674624,131437936640,3285,7100,0,237568
26-11 00:23:48,0.125,0.028,99.847,0,0,24073912320,111519580160,635674624,131437940736,4118,7244,0,0
26-11 00:23:49,0.181,0.083,99.736,0,0,24074199040,111519289344,635674624,131437944832,3777,7015,0,0
26-11 00:23:50,0.125,0.042,99.833,0,0,24074219520,111519264768,635674624,131437948928,3692,6686,0,0
26-11 00:23:51,0.167,0.042,99.792,0,0,24074571776,111518908416,635674624,131437953024,5184,7716,0,0
26-11 00:23:52,0.292,0.056,99.652,0,0,24075264000,111518171136,635682816,131437985792,6433,8171,0,32768
26-11 00:23:53,0.167,0.028,99.805,0,0,24075321344,111518105600,635682816,131437993984,5530,7333,0,0
26-11 00:23:54,2.849,0.389,96.762,0,0,24177250304,111415472128,635682816,131438129152,6586,8453,0,0
26-11 00:23:55,4.722,0.430,94.848,0,0,24337342464,111255367680,635682816,131438141440,6212,7882,0,0
26-11 00:23:56,8.380,0.557,91.063,0,0,24531116032,111060074496,635682816,131438587904,15528,9411,0,0
