"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","nother-Super-Server",,,,"User:","nother"
"Cmdline:","dstat -tcmnd --output 1.0_5g.csv 1",,,,"Date:","29 Nov 2025 00:50:33 CST"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ"
29-11 00:50:33,0.133,0.014,99.852,0.000,0,23677722624,107479699456,874987520,135683653632,0,0,563562.256,360259.781
29-11 00:50:34,0.014,0.056,99.931,0,0,23678205952,107479216128,874995712,135683645440,1289,1704,0,73728
29-11 00:50:35,0.028,0.056,99.917,0,0,23678713856,107478700032,874995712,135683653632,4270,1296,0,0
29-11 00:50:36,0.028,0.028,99.944,0,0,23678230528,107479183360,874995712,135683653632,743,1034,0,0
29-11 00:50:37,0.014,0.083,99.903,0,0,23678205952,107479207936,874995712,135683653632,51961,10677664,0,0
29-11 00:50:38,0.056,0.014,99.931,0,0,23678730240,107478380544,874995712,135683956736,309017,3987777,0,0
29-11 00:50:39,1.403,0.361,98.236,0,0,23729541120,107426820096,874995712,135684722688,264108,260911,0,0
29-11 00:50:40,3.701,0.403,95.896,0,0,23871889408,107283619840,874995712,135684911104,609,2578,0,2613248
29-11 00:50:41,4.330,0.265,95.406,0,0,24037875712,107117629440,874995712,135684915200,2630,4944,0,0
29-11 00:50:42,4.849,0.236,94.915,0,0,24136323072,107019165696,875008000,135684919296,2582,4828,0,581632
29-11 00:50:43,6.502,0.292,93.206,0,0,24184791040,106970636288,875008000,135684923392,2171,3517,0,0
29-11 00:50:44,3.213,0.153,96.634,0,0,24197578752,106957836288,875008000,135684943872,4370,5282,0,0
29-11 00:50:45,0.236,0.069,99.694,0,0,24197959680,106957103104,875008000,135685222400,2385,4552,0,0
29-11 00:50:46,0.056,0.042,99.903,0,0,24198475776,106956587008,875008000,135685222400,1547,3142,0,0
29-11 00:50:47,2.961,0.473,96.566,0,0,24290910208,106864091136,875016192,135685275648,3306,4519,0,303104
29-11 00:50:48,7.085,0.640,92.274,0,0,24508133376,106644869120,875016192,135685480448,2205,5318,0,0
29-11 00:50:49,13.357,1.014,85.629,0,0,24875204608,106276184064,875016192,135686225920,10388,8433,0,0
29-11 00:50:50,13.928,1.062,85.010,0,0,25213280256,105937911808,875016192,135686537216,10040,4814,0,3473408
29-11 00:50:51,22.577,1.240,76.184,0,0,25790820352,105337737216,875016192,135708098560,9812,8018,0,0
29-11 00:50:52,24.163,1.521,74.316,0,0,26367705088,104688480256,875016192,135779405824,10071,5198,0,0
29-11 00:50:53,22.767,1.298,75.935,0,0,26818465792,104135680000,875028480,135879520256,12053,10745,0,671744
29-11 00:50:54,24.706,1.510,73.784,0,0,27380707328,103326433280,875028480,136120168448,10552,10712,0,0
29-11 00:50:55,10.722,1.619,87.576,0.083,0,26824065024,103722795008,875028480,136276467712,3493,6586,0,1014587392
29-11 00:50:56,7.513,1.303,91.184,0,0,26261655552,104107225088,875028480,136449568768,4039,11522,0,0
29-11 00:50:57,16.115,1.364,82.522,0,0,26006839296,104237105152,875028480,136571535360,3146,7888,0,0
29-11 00:50:58,10.819,1.474,87.707,0,0,25673527296,104512065536,875040768,136627904512,2323,3469,0,573440
29-11 00:50:59,14.875,1.630,83.496,0,0,25438617600,104731877376,875040768,136641642496,13707,9250,0,0
29-11 00:51:00,14.761,1.558,83.681,0,0,25206349824,105083871232,875040768,136524414976,13351,9548,0,98304
29-11 00:51:01,15.942,1.112,82.946,0,0,25542000640,104708907008,875040768,136562417664,13812,5308,0,0
29-11 00:51:02,22.210,1.225,76.566,0,0,26015240192,104180076544,875040768,136616235008,14643,12867,0,0
29-11 00:51:03,24.841,1.343,73.816,0,0,26586828800,103488344064,875053056,136733667328,15622,12351,0,622592
29-11 00:51:04,15.865,0.765,83.370,0,0,26820923392,103049928704,875053056,136932511744,3874,7383,0,0
29-11 00:51:05,7.789,0.987,91.224,0,0,26256281600,103409750016,875053056,137132474368,5294,12075,0,65536
29-11 00:51:06,15.461,1.336,83.203,0,0,26005999616,103557578752,875053056,137231577088,5282,9400,0,65536
29-11 00:51:07,10.788,1.488,87.724,0,0,25660968960,103810465792,875053056,137321889792,6132,8654,0,65536
29-11 00:51:08,14.070,1.607,84.323,0,0,25411923968,104025980928,875061248,137352826880,13927,10517,0,581632
29-11 00:51:09,14.469,1.505,84.026,0,0,25171865600,104398028800,875061248,137222725632,15239,9335,0,65536
29-11 00:51:10,20.889,1.056,78.056,0,0,25638735872,103885291520,875061248,137267363840,13626,13652,0,0
29-11 00:51:11,17.538,0.917,81.545,0,0,26000351232,103493025792,875061248,137297235968,13466,12939,0,0
29-11 00:51:12,8.676,0.473,90.851,0,0,26022395904,103299051520,875061248,137465040896,4656,7426,0,0
29-11 00:51:13,15.758,1.040,83.202,0,0,26339508224,102757916672,875073536,137682972672,3577,6377,0,475136
29-11 00:51:14,18.467,1.591,79.941,0,0,26205540352,102793281536,875073536,137779183616,5001,9767,0,65536
29-11 00:51:15,13.644,1.335,85.021,0,0,25882468352,103034060800,875073536,137858355200,14912,10505,0,65536
