"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","nother-Super-Server",,,,"User:","nother"
"Cmdline:","dstat -tcmnd --output 0.5_5g.csv 1",,,,"Date:","29 Nov 2025 00:56:22 CST"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ"
29-11 00:56:22,0.133,0.014,99.852,0.000,0,23653634048,107493126144,875413504,135685922816,0,0,563530.231,361367.662
29-11 00:56:23,0.291,0.083,99.625,0,0,23654166528,107491979264,875413504,135686471680,622675,16736186,0,0
29-11 00:56:24,0.014,0.028,99.958,0,0,23654158336,107491979264,875421696,135686471680,1043,1586,0,1794048
29-11 00:56:25,0.042,0.056,99.903,0,0,23654248448,107491889152,875421696,135686471680,1182,1710,0,0
29-11 00:56:26,0.014,0.056,99.931,0,0,23655280640,107490856960,875421696,135686471680,586,1354,0,0
29-11 00:56:27,0.028,0.028,99.944,0,0,23654297600,107491840000,875421696,135686471680,622,1356,0,0
29-11 00:56:28,0.042,0.042,99.917,0,0,23654256640,107491880960,875421696,135686471680,471,1066,0,0
29-11 00:56:29,0.028,0.014,99.958,0,0,23654248448,107491880960,875429888,135686471680,401,1372,0,131072
29-11 00:56:30,0.028,0.083,99.889,0,0,23654281216,107491848192,875429888,135686471680,537,1260,0,0
29-11 00:56:31,0.014,0.056,99.931,0,0,23654797312,107491332096,875429888,135686471680,562,1412,0,0
29-11 00:56:32,0.014,0.028,99.958,0,0,23654330368,107491799040,875429888,135686471680,520,1288,0,0
29-11 00:56:33,0.014,0.069,99.917,0,0,23654240256,107491889152,875429888,135686471680,232,1138,0,0
29-11 00:56:34,0.014,0.056,99.931,0,0,23654215680,107491913728,875438080,135686463488,561,1144,0,131072
29-11 00:56:35,0,0.014,99.986,0,0,23654215680,107491913728,875438080,135686463488,401,1296,0,0
29-11 00:56:36,0.028,0.056,99.917,0,0,23654232064,107491889152,875438080,135686471680,531,1034,0,0
29-11 00:56:37,0.028,0.069,99.903,0,0,23654256640,107491864576,875438080,135686471680,1094,1042,0,0
29-11 00:56:38,1.920,0.334,97.746,0,0,23717498880,107427254272,875438080,135687086080,9993,5409,0,0
29-11 00:56:39,5.701,0.626,93.674,0,0,23916224512,107227398144,875446272,135687262208,5722,6106,0,2580480
29-11 00:56:40,10.335,0.779,88.886,0,0,24229822464,106912804864,875446272,135687634944,9034,11110,0,0
29-11 00:56:41,12.193,0.808,86.998,0,0,24499879936,106641821696,875446272,135687995392,9936,5305,0,0
29-11 00:56:42,11.014,0.542,88.444,0,0,24651964416,106482827264,875446272,135694495744,20420,7636,0,0
29-11 00:56:43,13.860,0.582,85.558,0,0,24896729088,106157801472,875446272,135775141888,3160,4489,0,0
29-11 00:56:44,12.326,0.473,87.173,0.028,0,25124143104,105819967488,875458560,135884771328,2661,2257,0,299008000
29-11 00:56:45,12.413,0.917,86.669,0,0,25349599232,105351081984,875458560,136122531840,2265,5603,0,0
29-11 00:56:46,4.412,0.513,95.074,0,0,24781455360,105835761664,875458560,136203993088,4066,9977,0,0,
29-11 00:56:47,2.600,0.598,96.802,0,0,24211083264,106385002496,875458560,136224604160,1447,4415,0,0,
29-11 00:56:48,0.570,0.223,99.207,0,0,23638777856,107079811072,875458560,136105947136,1515,5070,0,0,
29-11 00:56:49,0.042,0.042,99.917,0,0,23638712320,107079770112,875458560,136105947136,431,2384,0,0,
29-11 00:56:50,2.127,0.320,97.553,0,0,23712964608,107005054976,875466752,136106074112,3919,2194,0,466944,
29-11 00:56:51,5.533,0.737,93.730,0,0,23917285376,106799742976,875466752,136106180608,5453,5111,0,0,
29-11 00:56:52,9.200,0.585,90.215,0,0,24171319296,106545147904,875466752,136106512384,9807,7118,0,0,
29-11 00:56:53,8.604,0.513,90.883,0,0,24301187072,106414510080,875466752,136106815488,8193,3143,0,0,
29-11 00:56:54,5.077,0.263,94.660,0,0,24315740160,106362503168,875466752,136143736832,741,3563,0,0,
29-11 00:56:55,11.830,0.680,87.490,0,0,24608489472,105990782976,875474944,136220581888,4813,4238,0,401408,
29-11 00:56:56,15.470,0.849,83.681,0,0,25024135168,105473265664,875474944,136318738432,5875,4680,0,0,
29-11 00:56:57,13.359,1.171,85.469,0,0,25351307264,104944844800,875474944,136513839104,7735,12142,0,0
29-11 00:56:58,21.727,1.657,76.616,0,0,25276583936,105019641856,875474944,136513671168,11866,14029,0,65536
29-11 00:56:59,13.119,0.904,85.977,0,0,24943517696,105481777152,875474944,136386670592,20628,7383,0,65536
29-11 00:57:00,12.201,0.876,86.923,0,0,25154498560,105183072256,875487232,136472080384,5459,7388,0,688128
29-11 00:57:01,20.688,1.574,77.710,0.028,0,25692688384,104370073600,875487232,136739778560,22242699,62358,0,246022144
29-11 00:57:02,20.846,2.948,76.151,0.056,0,26271776768,103571976192,875487232,136950321152,122957233,296030,0,1149853696
29-11 00:57:03,23.448,2.204,74.348,0,0,26282713088,103229898752,875487232,137272029184,122439882,329040,0,243335168
29-11 00:57:04,16.752,2.136,81.112,0,0,25983434752,103446171648,875487232,137354072064,121173534,341750,0,315146240
29-11 00:57:05,11.407,1.464,87.129,0,0,25532350464,103694581760,875499520,137551581184,119529659,309549,0,155107328
29-11 00:57:06,14.280,0.890,84.830,0,0,25774780416,103341977600,875499520,137659342848,119450434,323705,0,124903424
29-11 00:57:07,13.115,1.292,85.593,0,0,25999114240,102724734976,875499520,138041843712,118693378,326797,0,0
29-11 00:57:08,12.211,1.573,86.202,0.014,0,25719304192,102634610688,875499520,138401562624,123133703,345622,0,176619520
29-11 00:57:09,7.487,2.028,90.471,0.014,0,25271209984,102916419584,875499520,138564251648,119054321,327381,0,198500352
29-11 00:57:10,3.987,1.625,94.373,0.014,0,24523358208,103539712000,875511808,138685587456,119771883,337257,0,287457280
29-11 00:57:11,2.466,1.073,96.461,0,0,23958315008,104060076032,875511808,138729943040,120100556,322594,0,239263744
29-11 00:57:12,1.447,0.529,98.024,0,0,23958622208,103957372928,875511808,138829201408,119100407,329431,0,215736320
29-11 00:57:13,1.684,0.515,97.802,0,0,23962714112,103707709440,875511808,139068063744,119816473,334579,0,0
29-11 00:57:14,1.461,0.557,97.982,0,0,23962710016,103458709504,875511808,139310288896,123061622,346437,0,0
29-11 00:57:15,1.363,0.515,98.122,0,0,23963824128,103156404224,875524096,139603611648,119257675,334527,0,1343488
29-11 00:57:16,1.376,0.417,98.207,0,0,23965638656,102822768640,875524096,139926417408,119837476,335915,0,0
29-11 00:57:17,1.517,0.417,98.066,0,0,23973769216,102490316800,875524096,140241915904,118585959,329607,0,0
29-11 00:57:18,1.321,0.487,98.193,0,0,23974391808,102156304384,875524096,140566286336,119315386,335105,0,0
29-11 00:57:19,1.432,0.584,97.984,0,0,23975555072,103294140416,875524096,139456995328,121810277,342822,0,0
29-11 00:57:20,0.264,0.278,99.458,0,0,23975571456,103175655424,875532288,139572682752,121220833,340329,0,393216
29-11 00:57:21,1.544,0.375,98.081,0,0,23975452672,102898593792,875532288,139842826240,119599275,335817,0,0
29-11 00:57:22,1.320,0.500,98.180,0,0,23976357888,102572474368,875532288,140159213568,120050970,336461,0,0
