"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","nother-Super-Server",,,,"User:","nother"
"Cmdline:","dstat -tcmnd --output 0.05_5g.csv 1",,,,"Date:","29 Nov 2025 01:00:57 CST"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ"
29-11 01:00:57,0.133,0.014,99.852,0.000,0,23631589376,107508994048,875831296,135686807552,0,0,563505.010,365331.145
29-11 01:00:58,0.111,0.111,99.778,0,0,23631548416,107509035008,875831296,135686807552,411,1626,0,0
29-11 01:00:59,0,0.028,99.972,0,0,23631548416,107509035008,875839488,135686799360,292,736,0,81920
29-11 01:01:00,0.083,0.069,99.847,0,0,23632064512,107508518912,875839488,135686799360,2736,4410,0,0
29-11 01:01:01,0.042,0.056,99.903,0,0,23632064512,107508518912,875839488,135686799360,352,1266,0,0
29-11 01:01:02,0.014,0.028,99.958,0,0,23631753216,107508822016,875839488,135686807552,471,736,0,0
29-11 01:01:03,0.028,0.056,99.917,0,0,23631507456,107509067776,875839488,135686807552,533,1874,0,0
29-11 01:01:04,0.014,0.028,99.958,0,0,23631507456,107509067776,875839488,135686807552,351,1010,0,819200
29-11 01:01:05,0.014,0.014,99.972,0,0,23631507456,107509067776,875839488,135686807552,846,744,0,0
29-11 01:01:06,0.042,0.069,99.889,0,0,23631409152,107509157888,875847680,135686807552,28750,2398138,0,81920
29-11 01:01:07,0.014,0.125,99.861,0,0,23631450112,107509084160,875847680,135686807552,338761,15445493,0,0
29-11 01:01:08,0.028,0.014,99.958,0,0,23631450112,107509084160,875847680,135686807552,251308,4082,0,0
29-11 01:01:09,0.014,0.056,99.931,0,0,23631192064,107508797440,875847680,135687352320,1129,1986,0,0
29-11 01:01:10,0.056,0.069,99.875,0,0,23631708160,107508281344,875847680,135687352320,543,1278,0,0
29-11 01:01:11,0.042,0.014,99.944,0,0,23631208448,107508781056,875847680,135687352320,556,1000,0,0
29-11 01:01:12,0.042,0.028,99.931,0,0,23631372288,107508604928,875855872,135687352320,1638,1770,0,90112
29-11 01:01:13,0.028,0.083,99.889,0,0,23631372288,107508604928,875855872,135687352320,2540,1082,0,0
29-11 01:01:14,0.014,0,99.986,0,0,23631372288,107508604928,875855872,135687352320,681,1066,0,0
